feature_name
物料待抓取数_lag
合格数_lag
拧盖定位数_lag
填装数_lag
拧盖旋转数_lag
加盖定位数_lag
拧盖下降数_lag
加盖检测数_lag
填装下降数_lag
填装检测数_lag
容器上传检测数_lag
填装定位器放开状态_lag
填装旋转数_lag
物料推送气缸收回状态_lag
拧盖检测数_lag
填装定位器固定状态_lag
推盖数_lag
加盖数_lag
物料推送数_lag
物料抓取数_lag
拧盖数_lag
加盖下降数_lag
物料推送气缸收回状态_填装定位器固定状态_diff
填装定位器固定状态_填装定位器放开状态_diff
物料推送气缸收回状态_填装定位器放开状态_diff
填装定位器放开状态
填装定位器固定状态
物料推送气缸推送状态_填装定位器固定状态_diff
放置容器数_加盖数_diff
物料待抓取数_填装数_diff
放置容器数_推盖数_diff
容器上传检测数_加盖定位数_diff
放置容器数_加盖下降数_diff
加盖数_合格数_diff
