feature_name
物料推送气缸推送状态_lag
填装旋转数_lag
填装定位器放开状态_lag
填装下降数_lag
填装定位器固定状态_lag
放置容器数_填装检测数_diff
填装检测数_lag
填装数_lag
物料推送数_lag
物料抓取数_lag
填装检测数_拧盖旋转数_diff
填装检测数_拧盖数_diff
合格数_lag
物料推送气缸推送状态_不合格数_diff
拧盖下降数_合格数_diff
加盖数_合格数_diff
容器上传检测数_填装检测数_diff
加盖检测数_拧盖数_diff
拧盖定位数_合格数_diff
加盖定位数_拧盖数_diff
拧盖检测数_合格数_diff
物料推送气缸收回状态_不合格数_diff
不合格数
加盖下降数_lag
填装检测数_加盖数_diff
加盖定位数_合格数_diff
加盖定位数_lag
